Year,Ag District,County,Commodity,Value
2016,CENTRAL,CAYUGA,CORN,141.2
2016,CENTRAL,CHENANGO,CORN,142.1
2016,CENTRAL,MADISON,CORN,149.7
2016,CENTRAL,ONEIDA,CORN,149.4
2016,CENTRAL,ONONDAGA,CORN,126.5
2016,CENTRAL,OSWEGO,CORN,145.9
2016,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,140
2016,CENTRAL,OTSEGO,CORN,151.8
2016,EASTERN,ALBANY,CORN,115.8
2016,EASTERN,MONTGOMERY,CORN,170.3
2016,EASTERN,OTHER (COMBINED) COUNTIES,CORN,93.3
2016,EASTERN,RENSSELAER,CORN,128.9
2016,EASTERN,SARATOGA,CORN,165.6
2016,EASTERN,SCHOHARIE,CORN,154.6
2016,EASTERN,WASHINGTON,CORN,131
2016,NORTHERN,JEFFERSON,CORN,118.1
2016,NORTHERN,LEWIS,CORN,151.6
2016,NORTHERN,ST LAWRENCE,CORN,139.3
2016,SOUTHEAST,COLUMBIA,CORN,119.6
2016,SOUTHEAST,DELAWARE,CORN,118.7
2016,SOUTHEAST,DUTCHESS,CORN,133
2016,SOUTHEAST,ORANGE,CORN,153.9
2016,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,137.5
2016,SOUTHEAST,ULSTER,CORN,126.2
2016,SOUTHWEST,ALLEGANY,CORN,107.4
2016,SOUTHWEST,CATTARAUGUS,CORN,156.5
2016,SOUTHWEST,CHAUTAUQUA,CORN,133
2016,SOUTHWEST,STEUBEN,CORN,102.5
2016,WESTERN,ERIE,CORN,120.8
2016,WESTERN,GENESEE,CORN,118.2
2016,WESTERN,LIVINGSTON,CORN,122.8
2016,WESTERN,MONROE,CORN,112.4
2016,WESTERN,NIAGARA,CORN,132.8
2016,WESTERN,ONTARIO,CORN,109.3
2016,WESTERN,OTHER (COMBINED) COUNTIES,CORN,122.2
2016,WESTERN,SENECA,CORN,96.3
2016,WESTERN,WAYNE,CORN,134.7
2016,WESTERN,WYOMING,CORN,148.6
2015,CENTRAL,CAYUGA,CORN,138.3
2015,CENTRAL,CORTLAND,CORN,132.4
2015,CENTRAL,HERKIMER,CORN,132.9
2015,CENTRAL,MADISON,CORN,120.6
2015,CENTRAL,ONEIDA,CORN,134.7
2015,CENTRAL,ONONDAGA,CORN,139.2
2015,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,129.7
2015,EASTERN,MONTGOMERY,CORN,142.9
2015,EASTERN,OTHER (COMBINED) COUNTIES,CORN,115.2
2015,EASTERN,RENSSELAER,CORN,152.9
2015,EASTERN,SARATOGA,CORN,161.4
2015,EASTERN,SCHOHARIE,CORN,135.7
2015,EASTERN,WASHINGTON,CORN,131.1
2015,LONG ISLAND,SUFFOLK,CORN,116.7
2015,NORTHERN,JEFFERSON,CORN,130
2015,NORTHERN,LEWIS,CORN,105
2015,NORTHERN,ST LAWRENCE,CORN,158.5
2015,SOUTHERN,BROOME,CORN,140
2015,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,137.1
2015,SOUTHERN,SCHUYLER,CORN,154.6
2015,SOUTHWEST,CATTARAUGUS,CORN,139.5
2015,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,124
2015,SOUTHWEST,STEUBEN,CORN,149.3
2015,WESTERN,ERIE,CORN,127.9
2015,WESTERN,LIVINGSTON,CORN,139.1
2015,WESTERN,MONROE,CORN,156.6
2015,WESTERN,NIAGARA,CORN,162
2015,WESTERN,ONTARIO,CORN,140.8
2015,WESTERN,OTHER (COMBINED) COUNTIES,CORN,150.9
2015,WESTERN,SENECA,CORN,153.5
2015,WESTERN,WAYNE,CORN,147.9
2015,WESTERN,WYOMING,CORN,160
2015,WESTERN,YATES,CORN,156.3
2014,CENTRAL,CAYUGA,CORN,160.3
2014,CENTRAL,CORTLAND,CORN,136.4
2014,CENTRAL,MADISON,CORN,134.5
2014,CENTRAL,ONEIDA,CORN,151.8
2014,CENTRAL,ONONDAGA,CORN,151.2
2014,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,135.2
2014,CENTRAL,OTSEGO,CORN,143.4
2014,EASTERN,ALBANY,CORN,160
2014,EASTERN,FULTON,CORN,156
2014,EASTERN,OTHER (COMBINED) COUNTIES,CORN,142.6
2014,EASTERN,RENSSELAER,CORN,152.1
2014,EASTERN,SARATOGA,CORN,141
2014,NORTHERN,JEFFERSON,CORN,133.6
2014,NORTHERN,LEWIS,CORN,138
2014,NORTHERN,ST LAWRENCE,CORN,139.9
2014,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,138.9
2014,SOUTHEAST,ULSTER,CORN,153.3
2014,SOUTHERN,BROOME,CORN,158.3
2014,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,134.3
2014,SOUTHERN,SCHUYLER,CORN,145.5
2014,SOUTHERN,TIOGA,CORN,141.1
2014,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,113.6
2014,SOUTHWEST,STEUBEN,CORN,130.8
2014,WESTERN,GENESEE,CORN,147.2
2014,WESTERN,MONROE,CORN,175.1
2014,WESTERN,NIAGARA,CORN,150.9
2014,WESTERN,ONTARIO,CORN,168.4
2014,WESTERN,OTHER (COMBINED) COUNTIES,CORN,155.2
2014,WESTERN,WAYNE,CORN,151
2014,WESTERN,YATES,CORN,168.3
2013,CENTRAL,CAYUGA,CORN,138.3
2013,CENTRAL,CHENANGO,CORN,124.5
2013,CENTRAL,CORTLAND,CORN,128
2013,CENTRAL,HERKIMER,CORN,106.9
2013,CENTRAL,ONEIDA,CORN,115.6
2013,CENTRAL,ONONDAGA,CORN,134.9
2013,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,100.8
2013,CENTRAL,OTSEGO,CORN,108.3
2013,EASTERN,ALBANY,CORN,118.8
2013,EASTERN,MONTGOMERY,CORN,109.6
2013,EASTERN,OTHER (COMBINED) COUNTIES,CORN,101.4
2013,EASTERN,RENSSELAER,CORN,120
2013,EASTERN,SARATOGA,CORN,120.2
2013,EASTERN,WASHINGTON,CORN,134.5
2013,LONG ISLAND,OTHER (COMBINED) COUNTIES,CORN,112
2013,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,139.9
2013,NORTHERN,JEFFERSON,CORN,110.9
2013,NORTHERN,LEWIS,CORN,122.6
2013,NORTHERN,ST LAWRENCE,CORN,120.2
2013,SOUTHEAST,COLUMBIA,CORN,142.6
2013,SOUTHEAST,DELAWARE,CORN,136.3
2013,SOUTHEAST,ORANGE,CORN,110.1
2013,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,124.6
2013,SOUTHEAST,ULSTER,CORN,138.8
2013,SOUTHERN,BROOME,CORN,129.1
2013,SOUTHERN,OTHER (COMBINED) COUNTIES,CORN,142.7
2013,SOUTHERN,SCHUYLER,CORN,150.6
2013,SOUTHERN,TIOGA,CORN,128.4
2013,SOUTHWEST,ALLEGANY,CORN,117.6
2013,SOUTHWEST,CATTARAUGUS,CORN,135.2
2013,SOUTHWEST,CHAUTAUQUA,CORN,138.6
2013,SOUTHWEST,STEUBEN,CORN,136
2013,WESTERN,ERIE,CORN,125.8
2013,WESTERN,GENESEE,CORN,136.5
2013,WESTERN,LIVINGSTON,CORN,162.2
2013,WESTERN,MONROE,CORN,153.1
2013,WESTERN,NIAGARA,CORN,133.8
2013,WESTERN,ONTARIO,CORN,163.3
2013,WESTERN,ORLEANS,CORN,144.5
2013,WESTERN,SENECA,CORN,165.5
2013,WESTERN,WAYNE,CORN,147.7
2013,WESTERN,WYOMING,CORN,139.3
2013,WESTERN,YATES,CORN,169
2012,CENTRAL,CAYUGA,CORN,143.6
2012,CENTRAL,CHENANGO,CORN,116.5
2012,CENTRAL,CORTLAND,CORN,136.5
2012,CENTRAL,HERKIMER,CORN,126.3
2012,CENTRAL,MADISON,CORN,129.2
2012,CENTRAL,ONEIDA,CORN,137.3
2012,CENTRAL,ONONDAGA,CORN,121.7
2012,CENTRAL,OSWEGO,CORN,105.8
2012,CENTRAL,OTSEGO,CORN,141.4
2012,EASTERN,ALBANY,CORN,123.9
2012,EASTERN,FULTON,CORN,84
2012,EASTERN,MONTGOMERY,CORN,125.1
2012,EASTERN,RENSSELAER,CORN,120.6
2012,EASTERN,SARATOGA,CORN,118.6
2012,EASTERN,SCHENECTADY,CORN,148
2012,EASTERN,SCHOHARIE,CORN,133.6
2012,EASTERN,WASHINGTON,CORN,122.2
2012,LONG ISLAND,SUFFOLK,CORN,152.7
2012,NORTHEAST,CLINTON,CORN,170.4
2012,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,145.7
2012,NORTHERN,JEFFERSON,CORN,124.6
