Year,Ag District,County,Commodity,Value,Precipitation
2019,CENTRAL,CAYUGA,CORN,158,
2019,CENTRAL,CORTLAND,CORN,157.6,
2019,CENTRAL,HERKIMER,CORN,147.9,
2019,CENTRAL,MADISON,CORN,139.3,
2019,CENTRAL,ONEIDA,CORN,154.4,
2019,CENTRAL,ONONDAGA,CORN,157.5,
2019,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,122.7,
2019,CENTRAL,OTSEGO,CORN,126.8,
2019,EASTERN,OTHER (COMBINED) COUNTIES,CORN,170.1,
2019,EASTERN,RENSSELAER,CORN,165.2,
2019,EASTERN,WASHINGTON,CORN,151.9,
2019,LONG ISLAND,SUFFOLK,CORN,124,
2019,NORTHERN,JEFFERSON,CORN,117.8,
2019,NORTHERN,LEWIS,CORN,120,
2019,NORTHERN,ST LAWRENCE,CORN,129.9,
2019,SOUTHEAST,COLUMBIA,CORN,160.6,
2019,SOUTHEAST,DUTCHESS,CORN,163.9,
2019,SOUTHEAST,ORANGE,CORN,143.2,
2019,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,158.3,
2019,SOUTHEAST,ULSTER,CORN,159.2,
2019,SOUTHWEST,CHAUTAUQUA,CORN,182.8,
2019,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,139.7,
2019,SOUTHWEST,STEUBEN,CORN,122.2,
2019,WESTERN,ERIE,CORN,139.7,
2019,WESTERN,GENESEE,CORN,163.4,
2019,WESTERN,LIVINGSTON,CORN,173.5,
2019,WESTERN,MONROE,CORN,163.7,
2019,WESTERN,ONTARIO,CORN,176.7,
2019,WESTERN,OTHER (COMBINED) COUNTIES,CORN,176.4,
2019,WESTERN,SENECA,CORN,180.7,
2019,WESTERN,WAYNE,CORN,167.2,
2019,WESTERN,WYOMING,CORN,160.5,
2019,WESTERN,YATES,CORN,176.9,
2018,CENTRAL,CAYUGA,CORN,162.2,
2018,CENTRAL,CHENANGO,CORN,150.1,
2018,CENTRAL,CORTLAND,CORN,146.4,
2018,CENTRAL,MADISON,CORN,166.3,
2018,CENTRAL,ONEIDA,CORN,150,
2018,CENTRAL,ONONDAGA,CORN,159.8,
2018,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,149.9,
2018,EASTERN,MONTGOMERY,CORN,150.3,
2018,EASTERN,OTHER (COMBINED) COUNTIES,CORN,142.6,
2018,EASTERN,RENSSELAER,CORN,163.5,
2018,EASTERN,SARATOGA,CORN,158.8,
2018,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,153,
2018,NORTHERN,JEFFERSON,CORN,142.5,
2018,NORTHERN,OTHER (COMBINED) COUNTIES,CORN,159.9,
2018,SOUTHERN,BROOME,CORN,165.2,
2018,SOUTHERN,CHEMUNG,CORN,170,
2018,SOUTHERN,SCHUYLER,CORN,162.8,
2018,SOUTHERN,TIOGA,CORN,153.1,
2018,SOUTHERN,TOMPKINS,CORN,110.7,
2018,SOUTHWEST,ALLEGANY,CORN,139,
2018,SOUTHWEST,CATTARAUGUS,CORN,163.8,
2018,SOUTHWEST,CHAUTAUQUA,CORN,155.2,
2018,SOUTHWEST,STEUBEN,CORN,168.8,
2018,WESTERN,ERIE,CORN,145.2,
2018,WESTERN,GENESEE,CORN,168.2,
2018,WESTERN,LIVINGSTON,CORN,174.2,
2018,WESTERN,MONROE,CORN,159.2,
2018,WESTERN,NIAGARA,CORN,165.1,
2018,WESTERN,ONTARIO,CORN,160.9,
2018,WESTERN,OTHER (COMBINED) COUNTIES,CORN,156.8,
2018,WESTERN,SENECA,CORN,172.2,
2018,WESTERN,WAYNE,CORN,170.1,
2018,WESTERN,WYOMING,CORN,167.2,
2017,CENTRAL,CAYUGA,CORN,170.6,
2017,CENTRAL,CHENANGO,CORN,123.5,
2017,CENTRAL,CORTLAND,CORN,142.8,
2017,CENTRAL,HERKIMER,CORN,133.4,
2017,CENTRAL,MADISON,CORN,154.7,
2017,CENTRAL,ONEIDA,CORN,154.5,
2017,CENTRAL,ONONDAGA,CORN,157.1,
2017,CENTRAL,OSWEGO,CORN,127.6,
2017,CENTRAL,OTSEGO,CORN,136.2,
2017,EASTERN,ALBANY,CORN,142.3,
2017,EASTERN,MONTGOMERY,CORN,166.6,
2017,EASTERN,OTHER (COMBINED) COUNTIES,CORN,127.6,
2017,EASTERN,RENSSELAER,CORN,145.9,
2017,EASTERN,SARATOGA,CORN,144.1,
2017,EASTERN,WASHINGTON,CORN,124.8,
2017,LONG ISLAND,OTHER (COMBINED) COUNTIES,CORN,121.7,
2017,NORTHEAST,CLINTON,CORN,175,
2017,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,146.8,
2017,NORTHERN,JEFFERSON,CORN,146.4,
2017,NORTHERN,LEWIS,CORN,139.3,
2017,NORTHERN,ST LAWRENCE,CORN,129.5,
2017,SOUTHEAST,COLUMBIA,CORN,157.4,
2017,SOUTHEAST,DELAWARE,CORN,128,
2017,SOUTHEAST,DUTCHESS,CORN,163.8,
2017,SOUTHEAST,ORANGE,CORN,163.2,
2017,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,153,
2017,SOUTHEAST,ULSTER,CORN,130,
2017,SOUTHERN,BROOME,CORN,162.5,
2017,SOUTHERN,CHEMUNG,CORN,170,
2017,SOUTHERN,SCHUYLER,CORN,162.1,
2017,SOUTHERN,TIOGA,CORN,174.8,
2017,SOUTHERN,TOMPKINS,CORN,148.4,
2017,SOUTHWEST,ALLEGANY,CORN,147.7,
