TIMESTEP,MEAN,MINIMUM(K),MAXIMUM(K)
1979-01-01T00:00:00Z,279.3668,275.1,288
1979-01-02T00:00:00Z,278.49402,272.8,288.7
1979-01-03T00:00:00Z,270.3518,260.9,284.5
1979-01-04T00:00:00Z,265.18008,259.5,272.6
1979-01-05T00:00:00Z,265.06934,258.8,273.3
1979-01-06T00:00:00Z,269.9478,264.3,277.4
1979-01-07T00:00:00Z,273.46106,267.6,282.3
1979-01-08T00:00:00Z,272.27267,265.8,281.9
1979-01-09T00:00:00Z,266.4563,260.8,275.6
1979-01-10T00:00:00Z,266.20636,261.4,272.4
1979-01-11T00:00:00Z,262.69043,255.8,271.4
1979-01-12T00:00:00Z,264.8144,257.8,275.9
1979-01-13T00:00:00Z,272.82703,265.4,280.6
1979-01-14T00:00:00Z,276.2264,272.8,282.1
1979-01-15T00:00:00Z,265.24066,258.4,275
1979-01-16T00:00:00Z,267.76514,260.8,277.6
1979-01-17T00:00:00Z,270.50693,261.4,278.9
1979-01-18T00:00:00Z,268.43063,258.5,277.7
1979-01-19T00:00:00Z,262.12393,255.7,269.1
1979-01-20T00:00:00Z,269.71594,262.6,277.9
1979-01-21T00:00:00Z,274.28247,269.5,282.4
1979-01-22T00:00:00Z,271.85117,267.3,279.6
1979-01-23T00:00:00Z,272.3925,266.4,278.1
1979-01-24T00:00:00Z,275.58334,270.1,281.9
1979-01-25T00:00:00Z,275.67313,271.1,281.9
1979-01-26T00:00:00Z,275.14795,271.4,280.5
1979-01-27T00:00:00Z,275.6168,271.9,283.4
1979-01-28T00:00:00Z,275.24527,271.8,280.1
1979-01-29T00:00:00Z,273.1825,269.5,278.6
1979-01-30T00:00:00Z,270.43503,265.8,277.8
1979-01-31T00:00:00Z,269.45273,264.6,277.1
1979-02-01T00:00:00Z,266.33978,261.4,273.8
1979-02-02T00:00:00Z,264.62802,258,273
1979-02-03T00:00:00Z,267.2746,262.5,275
1979-02-04T00:00:00Z,270.75955,265,277
1979-02-05T00:00:00Z,266.13696,260.4,274.2
1979-02-06T00:00:00Z,262.66132,256.4,270.7
1979-02-07T00:00:00Z,269.92252,262.8,275.1
1979-02-08T00:00:00Z,267.65146,261.8,273.7
1979-02-09T00:00:00Z,261.68002,255.8,270.2
1979-02-10T00:00:00Z,259.3927,252.8,266
1979-02-11T00:00:00Z,256.41895,250.2,264
1979-02-12T00:00:00Z,263.496,257.7,268.2
1979-02-13T00:00:00Z,258.5158,252.8,267.6
1979-02-14T00:00:00Z,258.7769,252.4,266.6
1979-02-15T00:00:00Z,262.41153,256.4,270.3
1979-02-16T00:00:00Z,260.94965,254.8,269.9
1979-02-17T00:00:00Z,255.37744,249.6,265.7
1979-02-18T00:00:00Z,262.55734,257.6,269.8
1979-02-19T00:00:00Z,270.9871,265.9,275.6
1979-02-20T00:00:00Z,273.84866,270.6,276.4
1979-02-21T00:00:00Z,277.0273,273.3,280.2
1979-02-22T00:00:00Z,276.64996,273,279.8
1979-02-23T00:00:00Z,276.66113,272.1,280.2
1979-02-24T00:00:00Z,278.3226,274.5,283.3
1979-02-25T00:00:00Z,275.37314,271.4,280.9
1979-02-26T00:00:00Z,273.8943,269.5,281.7
1979-02-27T00:00:00Z,274.1552,269.9,280.6
1979-02-28T00:00:00Z,277.10806,272.8,286.3
1979-03-01T00:00:00Z,277.74423,272.8,284.1
1979-03-02T00:00:00Z,277.63525,272.6,285
1979-03-03T00:00:00Z,280.64474,274.1,285.5
