TIMESTEP,MEAN(K),MINIMUM(K),MAXIMUM(K)
1979-01-01T00:00:00Z,274.45868,270.3,281.9
1979-01-02T00:00:00Z,268.43747,260.2,282
1979-01-03T00:00:00Z,258.91824,253.2,266.5
1979-01-04T00:00:00Z,259.35825,253.3,266.8
1979-01-05T00:00:00Z,259.17343,252,269
1979-01-06T00:00:00Z,260.9967,252.9,270.1
1979-01-07T00:00:00Z,263.6801,257.3,273.1
1979-01-08T00:00:00Z,263.76456,255.3,274
1979-01-09T00:00:00Z,258.19376,251.4,269.2
1979-01-10T00:00:00Z,258.17596,252.7,268.3
1979-01-11T00:00:00Z,254.81569,245.8,264.8
1979-01-12T00:00:00Z,253.41899,245.6,264.5
1979-01-13T00:00:00Z,261.80252,254,273.3
1979-01-14T00:00:00Z,263.02817,255.5,274.3
1979-01-15T00:00:00Z,256.86856,250.6,268.7
1979-01-16T00:00:00Z,257.4938,250.2,269.7
1979-01-17T00:00:00Z,257.39236,245.7,270.1
1979-01-18T00:00:00Z,252.13235,244.4,264.5
1979-01-19T00:00:00Z,247.52461,239.4,261.5
1979-01-20T00:00:00Z,258.24194,248.3,266.4
1979-01-21T00:00:00Z,266.59946,260.2,275.2
1979-01-22T00:00:00Z,266.12848,259,273.2
1979-01-23T00:00:00Z,261.33823,255.1,271.9
1979-01-24T00:00:00Z,263.5368,251,275.2
1979-01-25T00:00:00Z,270.26276,263.9,275.2
1979-01-26T00:00:00Z,270.60464,265.7,275
1979-01-27T00:00:00Z,269.64407,264.6,275.1
1979-01-28T00:00:00Z,269.6734,265.8,274.7
1979-01-29T00:00:00Z,266.5365,260.1,273.2
1979-01-30T00:00:00Z,265.20865,258.3,272.5
1979-01-31T00:00:00Z,262.99994,255.5,272.8
1979-02-01T00:00:00Z,258.894,250.6,268.2
1979-02-02T00:00:00Z,257.10425,249,266.4
1979-02-03T00:00:00Z,255.24158,247.7,267.2
1979-02-04T00:00:00Z,257.21677,248.7,269.5
1979-02-05T00:00:00Z,256.80734,247.8,266.5
1979-02-06T00:00:00Z,252.88426,244.5,263.8
1979-02-07T00:00:00Z,254.8061,245.4,265.8
1979-02-08T00:00:00Z,258.57312,250.3,267.6
1979-02-09T00:00:00Z,250.74791,242.7,261.7
1979-02-10T00:00:00Z,248.77135,240.2,259.2
1979-02-11T00:00:00Z,245.32161,234.8,257.9
1979-02-12T00:00:00Z,247.1752,239.1,259
1979-02-13T00:00:00Z,248.54375,241.2,260
1979-02-14T00:00:00Z,245.5522,237.7,257.4
1979-02-15T00:00:00Z,252.35284,241.4,264.4
1979-02-16T00:00:00Z,251.8413,242.8,262.9
1979-02-17T00:00:00Z,243.58017,235.6,256.9
1979-02-18T00:00:00Z,243.02711,236.6,256.6
1979-02-19T00:00:00Z,254.89253,242.2,267.3
1979-02-20T00:00:00Z,256.83096,252.1,268.4
1979-02-21T00:00:00Z,264.089,258.1,272.2
1979-02-22T00:00:00Z,267.18573,260,274.4
1979-02-23T00:00:00Z,267.06717,260.1,273.7
1979-02-24T00:00:00Z,270.99222,265.4,276.1
1979-02-25T00:00:00Z,266.98022,258.4,276.6
1979-02-26T00:00:00Z,267.48917,262.2,276.5
1979-02-27T00:00:00Z,267.25946,261.5,275.4
1979-02-28T00:00:00Z,263.68524,259.1,274.1
1979-03-01T00:00:00Z,268.97162,263.7,277.1
1979-03-02T00:00:00Z,270.2738,265,277.1
1979-03-03T00:00:00Z,269.7317,264.5,276.7
1979-03-04T00:00:00Z,272.35077,266.9,278.2
1979-03-05T00:00:00Z,276.56586,271.6,282.6
1979-03-06T00:00:00Z,274.61044,268.7,283.1
1979-03-07T00:00:00Z,271.29178,264.7,280.2
1979-03-08T00:00:00Z,270.16632,263.5,276.6
1979-03-09T00:00:00Z,271.0501,263,277.9
1979-03-10T00:00:00Z,272.7512,266.7,278.5
1979-03-11T00:00:00Z,263.8046,258.1,272.3
1979-03-12T00:00:00Z,262.91708,254.6,271.7
1979-03-13T00:00:00Z,263.2549,253.7,273.5
1979-03-14T00:00:00Z,268.25507,262.5,278.4
1979-03-15T00:00:00Z,259.4795,251.6,270.3
1979-03-16T00:00:00Z,261.4432,253.2,270.2
1979-03-17T00:00:00Z,267.58948,260.8,274.7
1979-03-18T00:00:00Z,267.85843,257.8,275.2
1979-03-19T00:00:00Z,267.89102,262.3,274.5
1979-03-20T00:00:00Z,269.5187,264.5,276.4
1979-03-21T00:00:00Z,271.44464,266.7,277.8
1979-03-22T00:00:00Z,274.50446,269.8,278.4
1979-03-23T00:00:00Z,276.35574,271.9,280.4
1979-03-24T00:00:00Z,277.23782,271,282.5
1979-03-25T00:00:00Z,275.20135,268,282.3
1979-03-26T00:00:00Z,266.586,260,276.6
1979-03-27T00:00:00Z,265.60733,258,274.4
1979-03-28T00:00:00Z,266.1487,259,274.3
1979-03-29T00:00:00Z,272.66473,266.9,277.9
1979-03-30T00:00:00Z,278.08295,269.9,284
1979-03-31T00:00:00Z,277.84918,271.7,285
1979-04-01T00:00:00Z,274.41946,268.4,282.6
1979-04-02T00:00:00Z,274.77646,268.3,280.4
1979-04-03T00:00:00Z,272.04352,265.7,281.4
1979-04-04T00:00:00Z,270.59225,264.4,278.5
1979-04-05T00:00:00Z,272.006,265.5,279.2
1979-04-06T00:00:00Z,268.3137,262.4,275.5
1979-04-07T00:00:00Z,267.18658,260.3,274.3
1979-04-08T00:00:00Z,266.10364,258.7,273.9
1979-04-09T00:00:00Z,269.18384,262.2,278.6
1979-04-10T00:00:00Z,268.97116,264.1,277.4
1979-04-11T00:00:00Z,267.13135,261.5,276.2
1979-04-12T00:00:00Z,271.09265,264.6,279.2
1979-04-13T00:00:00Z,273.58484,265.9,278.9
1979-04-14T00:00:00Z,273.04224,266.9,278.2
1979-04-15T00:00:00Z,273.40442,267.1,277.4
1979-04-16T00:00:00Z,274.21194,269.1,280.3
1979-04-17T00:00:00Z,273.9438,268.3,279.7
1979-04-18T00:00:00Z,271.9642,267.3,279.4
1979-04-19T00:00:00Z,270.62875,265.6,277.8
1979-04-20T00:00:00Z,272.85074,265.6,280.5
1979-04-21T00:00:00Z,274.4871,269.1,279.6
1979-04-22T00:00:00Z,277.53723,270.7,281.9
1979-04-23T00:00:00Z,277.31213,272.7,283.5
1979-04-24T00:00:00Z,278.23877,272.1,284.6
1979-04-25T00:00:00Z,281.2965,275,286.3
1979-04-26T00:00:00Z,282.60364,276.3,286.1
1979-04-27T00:00:00Z,279.69113,271.1,286.3
1979-04-28T00:00:00Z,276.3617,269.8,284.9
1979-04-29T00:00:00Z,277.008,272.3,287.2
1979-04-30T00:00:00Z,276.3872,271.8,285.1
1979-05-01T00:00:00Z,275.54117,270.5,282.6
1979-05-02T00:00:00Z,273.67395,268.8,280.5
1979-05-03T00:00:00Z,276.17065,271.4,282.3
1979-05-04T00:00:00Z,277.60223,272.3,287.7
1979-05-05T00:00:00Z,273.95078,268.5,283.9
1979-05-06T00:00:00Z,275.19855,268.7,282.6
1979-05-07T00:00:00Z,278.78177,271.1,283.3
1979-05-08T00:00:00Z,281.8963,274.8,289.1
1979-05-09T00:00:00Z,287.75696,283.5,292
1979-05-10T00:00:00Z,289.07184,281.2,293
1979-05-11T00:00:00Z,287.16296,279.9,293.1
1979-05-12T00:00:00Z,286.4434,280,292.3
1979-05-13T00:00:00Z,281.6027,275.5,289.2
1979-05-14T00:00:00Z,279.6225,274.2,289.2
1979-05-15T00:00:00Z,280.63376,276.2,287.5
1979-05-16T00:00:00Z,279.19467,274.3,286.5
1979-05-17T00:00:00Z,277.22028,271,285.4
1979-05-18T00:00:00Z,279.1514,275,285.1
1979-05-19T00:00:00Z,283.8768,279.3,287.9
1979-05-20T00:00:00Z,284.54788,280.1,288.5
1979-05-21T00:00:00Z,282.46613,275.9,288.1
1979-05-22T00:00:00Z,278.76596,272.3,288.8
1979-05-23T00:00:00Z,279.68228,275.1,287.2
1979-05-24T00:00:00Z,280.5431,275,290.2
1979-05-25T00:00:00Z,279.80484,275,290.2
1979-05-26T00:00:00Z,280.68872,275.7,287.7
1979-05-27T00:00:00Z,279.72913,275.6,286.5
1979-05-28T00:00:00Z,280.45068,275.7,288.7
1979-05-29T00:00:00Z,281.0263,276.4,288.8
1979-05-30T00:00:00Z,282.16693,277.6,288.5
