TIMESTEP,MEAN,MINIMUM(mm),MAXIMUM(mm)
1979-01-01T00:00:00Z,13.347734,3.4,31.4
1979-01-02T00:00:00Z,12.155566,1,39.9
1979-01-03T00:00:00Z,1.7509155,0,12
1979-01-04T00:00:00Z,0.5622542,0,7.7
1979-01-05T00:00:00Z,1.0314184,0,6.6
1979-01-06T00:00:00Z,4.181467,0,11.7
1979-01-07T00:00:00Z,14.688046,1.1,48
1979-01-08T00:00:00Z,6.7734413,0.3,29.1
1979-01-09T00:00:00Z,0.43750742,0,10.3
1979-01-10T00:00:00Z,0.6745847,0,9.6
1979-01-11T00:00:00Z,0.08293805,0,3.8
1979-01-12T00:00:00Z,3.0126972,0,18.7
1979-01-13T00:00:00Z,7.5790987,1.6,30
1979-01-14T00:00:00Z,7.941228,1,40.6
1979-01-15T00:00:00Z,1.0977074,0,9
1979-01-16T00:00:00Z,1.6559263,0,10
1979-01-17T00:00:00Z,6.012523,0.7,18
1979-01-18T00:00:00Z,0.5913872,0,1.8
1979-01-19T00:00:00Z,0.67915696,0,5.6
1979-01-20T00:00:00Z,9.150737,0.8,46.4
1979-01-21T00:00:00Z,22.30209,3.9,66.5
1979-01-22T00:00:00Z,0.5635885,0,4.6
1979-01-23T00:00:00Z,0.69188434,0,9.3
1979-01-24T00:00:00Z,19.649853,0.8,54.9
1979-01-25T00:00:00Z,13.14566,3.4,60.8
1979-01-26T00:00:00Z,1.1163483,0,4.1
1979-01-27T00:00:00Z,0.34424344,0,4.8
1979-01-28T00:00:00Z,1.9344788,0,6.8
1979-01-29T00:00:00Z,3.1300478,0,15.5
1979-01-30T00:00:00Z,0.37851968,0,4.3
1979-01-31T00:00:00Z,2.5458114,0,8.5
1979-02-01T00:00:00Z,1.2607573,0,10.6
1979-02-02T00:00:00Z,0.02836273,0,1
1979-02-03T00:00:00Z,0.07531287,0,1.6
1979-02-04T00:00:00Z,1.2825747,0,10.3
1979-02-05T00:00:00Z,1.6245891,0,10.7
1979-02-06T00:00:00Z,0.06079828,0,1.7
1979-02-07T00:00:00Z,3.7680078,0,13.6
1979-02-08T00:00:00Z,1.9871781,0,11.4
1979-02-09T00:00:00Z,0.11157416,0,2.4
1979-02-10T00:00:00Z,0.2661546,0,8.6
1979-02-11T00:00:00Z,0.024855632,0,1.5
1979-02-12T00:00:00Z,0.2232343,0,2.9
1979-02-13T00:00:00Z,0.13198036,0,3.3
1979-02-14T00:00:00Z,0.1971735,0,3
1979-02-15T00:00:00Z,0.13038445,0,1.7
1979-02-16T00:00:00Z,1.0161734,0,7
1979-02-17T00:00:00Z,0.052323096,0,1.5
1979-02-18T00:00:00Z,0.3131637,0,1.5
1979-02-19T00:00:00Z,2.3372397,0,17.8
1979-02-20T00:00:00Z,0.57103485,0,8.5
1979-02-21T00:00:00Z,1.1700909,0,5.1
1979-02-22T00:00:00Z,1.645078,0,11.2
1979-02-23T00:00:00Z,4.135827,0,12.7
1979-02-24T00:00:00Z,6.7463236,0,39
1979-02-25T00:00:00Z,8.6939335,0,57.5
1979-02-26T00:00:00Z,15.898148,3.9,46
1979-02-27T00:00:00Z,1.0128989,0,5.4
1979-02-28T00:00:00Z,0.15371197,0,3.1
1979-03-01T00:00:00Z,0.22476223,0,4.4
1979-03-02T00:00:00Z,2.917434,0,13.1
1979-03-03T00:00:00Z,0.49228907,0,3.2
1979-03-04T00:00:00Z,5.682486,0,30.4
1979-03-05T00:00:00Z,15.781678,0,71.4
1979-03-06T00:00:00Z,8.116196,0,64.1
1979-03-07T00:00:00Z,0.39054823,0,6
1979-03-08T00:00:00Z,0.07751824,0,4.4
1979-03-09T00:00:00Z,0.21975954,0,2.9
1979-03-10T00:00:00Z,5.487101,0,26.3
1979-03-11T00:00:00Z,2.1780796,0,11.9
1979-03-12T00:00:00Z,0.33114868,0,3.3
1979-03-13T00:00:00Z,1.0884273,0,6.1
1979-03-14T00:00:00Z,5.0085917,0.5,15.6
1979-03-15T00:00:00Z,0.39188844,0,5.5
1979-03-16T00:00:00Z,0.04779933,0,1.3
1979-03-17T00:00:00Z,0.002471506,0,0.4
1979-03-18T00:00:00Z,2.84E-05,0,0.3
1979-03-19T00:00:00Z,6.48E-05,0,0.3
1979-03-20T00:00:00Z,0.030038089,0,1.5
1979-03-21T00:00:00Z,0.005974493,0,1
1979-03-22T00:00:00Z,0.04314033,0,2.1
1979-03-23T00:00:00Z,0.037813056,0,3.6
1979-03-24T00:00:00Z,6.7934194,0,53.2
1979-03-25T00:00:00Z,3.8678596,0,14.1
1979-03-26T00:00:00Z,0.77526313,0,5.6
1979-03-27T00:00:00Z,0.03112825,0,2.1
1979-03-28T00:00:00Z,1.4600908,0,15.1
1979-03-29T00:00:00Z,7.3235335,0.4,18
1979-03-30T00:00:00Z,2.9080818,0,9.1
1979-03-31T00:00:00Z,1.7644184,0,8.6
1979-04-01T00:00:00Z,1.3510364,0,6.8
1979-04-02T00:00:00Z,11.199438,1.3,28.3
1979-04-03T00:00:00Z,1.5109482,0,6.2
1979-04-04T00:00:00Z,5.005776,1.1,12
1979-04-05T00:00:00Z,2.457548,0,8.4
1979-04-06T00:00:00Z,4.6625175,0,20.7
1979-04-07T00:00:00Z,0.9836999,0,7.4
1979-04-08T00:00:00Z,7.0356007,0.3,26.1
1979-04-09T00:00:00Z,15.058349,4.4,31.8
1979-04-10T00:00:00Z,1.4830725,0,6.1
1979-04-11T00:00:00Z,0.007569204,0,1.1
1979-04-12T00:00:00Z,0.16306229,0,6.2
1979-04-13T00:00:00Z,0.37284127,0,6.2
1979-04-14T00:00:00Z,10.132395,0,30.5
1979-04-15T00:00:00Z,3.3480883,0.5,9.7
1979-04-16T00:00:00Z,2.7769518,0.3,11.1
1979-04-17T00:00:00Z,0.03252098,0,1.4
1979-04-18T00:00:00Z,0.008569478,0,0.6
1979-04-19T00:00:00Z,0,0,0
1979-04-20T00:00:00Z,0.009838908,0,4.2
1979-04-21T00:00:00Z,0.054784827,0,1.4
1979-04-22T00:00:00Z,0.27075133,0,2.3
1979-04-23T00:00:00Z,6.83E-04,0,0.4
1979-04-24T00:00:00Z,0,0,0
1979-04-25T00:00:00Z,1.0063362,0,13.1
1979-04-26T00:00:00Z,6.5693674,0.5,27.1
1979-04-27T00:00:00Z,18.070173,2.2,44.1
1979-04-28T00:00:00Z,2.4347632,0,14.4
1979-04-29T00:00:00Z,0.567485,0,7.1
1979-04-30T00:00:00Z,0.9358898,0,10.5
1979-05-01T00:00:00Z,0.027894601,0,1.3
1979-05-02T00:00:00Z,0.28350422,0,4.5
1979-05-03T00:00:00Z,7.769245,0,20
1979-05-04T00:00:00Z,0.7042587,0,14.4
1979-05-05T00:00:00Z,0.2034531,0,2.4
1979-05-06T00:00:00Z,0.012462667,0,0.6
1979-05-07T00:00:00Z,0,0,0
1979-05-08T00:00:00Z,0,0,0
1979-05-09T00:00:00Z,0.61447537,0,16
1979-05-10T00:00:00Z,1.8712633,0,27.4
1979-05-11T00:00:00Z,2.520846,0,16.1
1979-05-12T00:00:00Z,3.9257784,0,21.6
1979-05-13T00:00:00Z,2.8546364,0,33.3
1979-05-14T00:00:00Z,0.8424933,0,12.1
1979-05-15T00:00:00Z,2.1875508,0,8.3
1979-05-16T00:00:00Z,0.16012321,0,1.5
1979-05-17T00:00:00Z,0.38005286,0,8.5
1979-05-18T00:00:00Z,1.090158,0,17.8
1979-05-19T00:00:00Z,1.0609101,0,18.2
1979-05-20T00:00:00Z,1.7053155,0,6.4
1979-05-21T00:00:00Z,2.33424,0,8.2
1979-05-22T00:00:00Z,0,0,0
1979-05-23T00:00:00Z,12.652367,0,62
1979-05-24T00:00:00Z,18.208057,3.8,62.1
1979-05-25T00:00:00Z,15.294492,4,32.2
1979-05-26T00:00:00Z,7.134454,0,26.4
1979-05-27T00:00:00Z,5.093431,0,17.1
1979-05-28T00:00:00Z,4.6760926,0.3,22.7
1979-05-29T00:00:00Z,5.0421743,0,20
1979-05-30T00:00:00Z,1.8836083,0,9.4
1979-05-31T00:00:00Z,0.001791006,0,0.7
1979-06-01T00:00:00Z,0.21370386,0,4.1
1979-06-02T00:00:00Z,0.9029705,0,11.8
1979-06-03T00:00:00Z,0.68209654,0,20.3
1979-06-04T00:00:00Z,2.2088714,0,17.3
1979-06-05T00:00:00Z,1.9195765,0,11.2
1979-06-06T00:00:00Z,0.25888312,0,3.8
1979-06-07T00:00:00Z,0.8449233,0,6.1
1979-06-08T00:00:00Z,2.0132937,0,14.7
1979-06-09T00:00:00Z,0.6813516,0,6.9
1979-06-10T00:00:00Z,3.0521896,0,12.4
1979-06-11T00:00:00Z,10.091273,0.3,49.6
1979-06-12T00:00:00Z,0.7871317,0,4.8
1979-06-13T00:00:00Z,0.001532259,0,0.6
1979-06-14T00:00:00Z,0.017117199,0,0.6
1979-06-15T00:00:00Z,0,0,0
1979-06-16T00:00:00Z,0.3051018,0,17.2
1979-06-17T00:00:00Z,0.44482848,0,11.9
1979-06-18T00:00:00Z,0.27472532,0,9.8
1979-06-19T00:00:00Z,0.046537865,0,3
1979-06-20T00:00:00Z,0.3937021,0,15.3
1979-06-21T00:00:00Z,2.598234,0,15.1
1979-06-22T00:00:00Z,4.325312,0,19.3
1979-06-23T00:00:00Z,0.69448197,0,3.6
1979-06-24T00:00:00Z,0.30088517,0,3.2
1979-06-25T00:00:00Z,0.025349818,0,1.4
1979-06-26T00:00:00Z,0.082286544,0,2.3
1979-06-27T00:00:00Z,2.002542,0,9.3
1979-06-28T00:00:00Z,5.6934414,0,26.8
1979-06-29T00:00:00Z,2.4720323,0,11.6
1979-06-30T00:00:00Z,4.2532625,0,17.9
1979-07-01T00:00:00Z,5.046951,0,22
1979-07-02T00:00:00Z,2.105649,0,11.8
1979-07-03T00:00:00Z,0.055539113,0,4.2
1979-07-04T00:00:00Z,1.1026925,0,7.3
1979-07-05T00:00:00Z,0.41327494,0,3.3
1979-07-06T00:00:00Z,0.003632341,0,0.6
