yyyy-mm-dd,Yield,pr_rcp45,tasmax_rcp45,tasmin_rcp45,rsds_rcp45,pr_rcp85,tasmax_rcp85,tasmin_rcp85,rsds_rcp85
3/15/2006,57,79.830528,283.428711,274.478088,136.749817,47.603092,281.107208,271.759888,166.056717
4/15/2006,57,63.800259,288.203705,276.900177,215.31575,62.436852,285.372498,275.446594,228.749527
5/15/2006,57,110.63282,292.888641,280.606323,242.814774,24.181265,297.508179,282.733582,296.285065
6/15/2006,57,89.397804,298.957642,287.006439,280.44223,54.151382,299.045471,286.518524,302.424927
7/15/2006,57,106.014313,301.555725,289.472229,292.523468,89.040131,300.426361,289.680023,287.884583
8/15/2006,57,68.303459,299.649078,287.937378,271.489838,79.628578,298.7659,287.665009,248.570755
9/15/2006,57,64.791176,296.607971,285.397949,189.938385,62.02124,296.869232,285.374481,193.173737
10/15/2006,57,87.671448,289.751801,278.600037,134.219788,83.629097,289.488403,279.066925,122.730446
3/15/2007,56,98.417603,278.083038,268.667267,159.715408,44.16597,279.512848,270.166443,161.658768
4/15/2007,56,63.526821,286.020538,275.763733,235.33812,154.029465,286.446106,276.325378,189.608887
5/15/2007,56,102.687508,293.207153,281.613708,254.971191,48.289047,297.979706,285.605469,271.103363
6/15/2007,56,56.968857,301.063843,288.658691,285.861542,55.299858,301.295044,287.858002,318.151459
7/15/2007,56,64.21685,302.722992,290.469421,296.84256,68.44223,303.903107,291.090088,305.904572
8/15/2007,56,80.315613,300.455994,288.900787,265.963776,14.089026,307.027557,290.985321,303.081787
9/15/2007,56,35.263435,297.148376,285.602051,195.685257,62.361862,297.556091,284.796753,216.0914
10/15/2007,56,65.647934,290.737762,279.96521,122.420715,58.052078,291.476227,280.295593,134.449814
3/15/2008,73,31.37944,280.717255,271.735413,155.17366,107.65374,281.786255,272.735535,144.163452
4/15/2008,73,74.522011,286.903717,277.11441,200.109665,120.067657,285.564575,275.611694,259.025757
5/15/2008,73,51.766171,294.596344,280.587708,300.473907,35.189445,293.120117,281.482788,290.621124
